Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR27593190_trimmed_1.fastq.gz	LeechJ_xxxx__AF57__bin.5.fa	27.6715	23.3056	100.00	40.000	NA-NA	HIGH	NA-NA	40	39.685	9097/9098	100.00	1	AF57_k141_475
SRR27593190_trimmed_1.fastq.gz	LeechJ_xxxx__AF57__bin.8.fa	20.0618	15.0981	100.00	29.000	NA-NA	HIGH	NA-NA	29	28.733	8097/8097	100.00	0	AF57_k141_54
SRR27593190_trimmed_1.fastq.gz	LeechJ_xxxx__AF57__bin.1.fa	12.4522	19.7693	100.00	18.000	NA-NA	HIGH	NA-NA	18	19.330	17202/17205	100.00	2	AF57_k141_258
SRR27593190_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS12-29__bin.6.fa	9.0631	8.6943	99.35	13.101	NA-NA	HIGH	NA-NA	13	13.101	8477/10372	99.35	55	TGS12-29_k141_701
SRR27593190_trimmed_1.fastq.gz	YulandiA_2020__SRS6115053__bin.10.fa	6.6351	7.8848	99.88	9.591	NA-NA	HIGH	NA-NA	10	9.591	12247/12698	99.88	6	SRS6115053_k141_3360
SRR27593190_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602153__bin.4.fa	4.8657	7.7971	98.40	7.034	NA-NA	HIGH	NA-NA	7	7.034	10645/17572	98.40	2	NODE_1_length_695767_cov_46.0000_ID_85857
SRR27593190_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	4.2232	4.8371	97.45	6.105	NA-NA	HIGH	NA-NA	5	6.105	5486/12230	97.45	3067	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence
SRR27593190_trimmed_1.fastq.gz	WalshAM_2017__ERS1739834__bin.1.fa	3.2522	2.2108	99.37	4.701	NA-NA	HIGH	NA-NA	4	4.701	6164/7489	99.37	1	ERS1739834_k141_1514
SRR27593190_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	3.1706	2.3511	99.21	4.583	NA-NA	HIGH	NA-NA	4	4.583	6215/7955	99.21	24	SRS6115052_k141_129
SRR27593190_trimmed_1.fastq.gz	MAG_589.fa	2.0429	1.5879	96.79	2.953	NA-NA	HIGH	NA-NA	3	2.953	3050/8392	96.79	99	MAG_589_0
SRR27593190_trimmed_1.fastq.gz	EBC_089.14.fa	1.3273	1.1558	97.82	1.919	97.62-97.91	1.919	1.81-2.36	2	2.737	3998/9248	97.33	43	EBC_089.14_EBC_089_scaffold_68
