Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757828_trimmed_1.fastq.gz	GCF_005404945.1_ASM540494v1_genomic.fa	49.0693	52.8899	98.52	68.000	NA-NA	HIGH	NA-NA	68	66.012	7964/12634	98.52	135	GCF_005404945.1_ASM540494v1_genomic_NZ_BJDG01000001.1 Lactiplantibacillus pingfangensis strain 382-1 contig1, whole genome shotgun sequence
ERR4757828_trimmed_1.fastq.gz	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38.fa	23.0915	16.6771	99.45	32.000	NA-NA	HIGH	NA-NA	32	32.719	6760/8010	99.45	12	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome
ERR4757828_trimmed_1.fastq.gz	GCF_019656055.1_ASM1965605v1_genomic.fa	7.0940	5.0530	99.22	9.831	NA-NA	HIGH	NA-NA	9	9.831	6361/8099	99.22	105	GCF_019656055.1_ASM1965605v1_genomic_NZ_BPKY01000001.1 Leuconostoc miyukkimchii strain JCM 17445 contig1, whole genome shotgun sequence
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967711__bin.13.fa	5.1690	10.0561	99.95	7.163	NA-NA	HIGH	NA-NA	7	7.163	22336/22651	99.95	0	ERS3967711_k141_339
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967703__bin.6.fa	2.5301	1.7172	99.84	3.506	NA-NA	HIGH	NA-NA	3	3.506	7541/7915	99.84	0	ERS3967703_k141_852
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967741__bin.9.fa	2.3135	1.5965	98.42	3.206	NA-NA	HIGH	NA-NA	3	3.206	4873/7988	98.42	66	ERS3967741_k141_666
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967707__bin.4.fa	2.1676	2.9066	98.61	3.004	NA-NA	HIGH	NA-NA	3	3.004	10034/15500	98.61	83	ERS3967707_k141_7
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967706__bin.3.fa	2.0371	1.6591	99.68	2.823	NA-NA	HIGH	NA-NA	3	2.823	8619/9505	99.68	0	ERS3967706_k141_98
ERR4757828_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__ST007_71775__bin.2.fa	1.3650	1.3599	99.71	1.892	99.66-99.76	1.892	1.81-1.97	2	2.404	8929/11466	99.20	13	ST007_71775_k141_4056
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967711__bin.14.fa	0.9182	0.5787	99.80	1.272	99.68-99.87	1.272	1.21-1.37	2	1.857	4875/7200	98.75	0	ERS3967711_k141_542
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967712__bin.13.fa	0.6243	0.2942	99.73	0.865	99.60-99.90	0.865	0.79-0.92	1	1.535	2900/5442	97.99	0	ERS3967712_k141_889
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967699__bin.1.fa	0.5352	0.9909	99.04	0.742	98.94-99.16	0.742	0.71-0.77	1	1.533	8416/21634	97.00	851	ERS3967699_k141_136
ERR4757828_trimmed_1.fastq.gz	EBC_147.23.fa	0.4878	0.9687	98.66	0.676	98.51-98.76	0.676	0.64-0.71	1	1.583	7271/22448	96.43	1953	EBC_147.23_EBC_147_scaffold_41
ERR4757828_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2587__bin.9.fa	0.3785	0.7552	98.40	0.525	98.28-98.56	0.525	0.49-0.55	1	1.313	5700/23009	95.60	160	P2587_k141_467
ERR4757828_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	0.3769	0.4366	99.04	0.522	98.86-99.21	0.522	0.49-0.56	1	1.310	4187/13589	96.27	121	NODE_1_length_274429_cov_22.9992_ID_7781
ERR4757828_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	0.3568	0.2734	99.41	0.494	99.19-99.63	0.494	0.46-0.53	1	1.302	2973/8865	96.54	13	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome
ERR4757828_trimmed_1.fastq.gz	GCF_003353445.1_ASM335344v1_genomic.fa	0.3073	0.1897	98.85	0.426	98.60-99.16	0.426	0.38-0.47	1	1.250	1777/7335	95.53	10	GCF_003353445.1_ASM335344v1_genomic_NZ_QRAS01000001.1 Weissella soli strain CECT 7031 Ga0244601_11, whole genome shotgun sequence
ERR4757828_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602150__bin.9.fa	0.2738	0.2359	97.81	0.379	97.38-98.16	0.379	0.34-0.43	1	1.204	1605/10040	94.26	78	NODE_36_length_112572_cov_15.0000_ID_47355
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967737__bin.1.fa	0.2340	0.1633	99.68	0.324	99.39-100.08	0.324	0.28-0.35	1	1.290	2075/8190	95.67	61	ERS3967737_k141_37
ERR4757828_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS08-29__bin.64.fa	0.2036	0.4035	98.67	0.282	98.41-98.94	0.282	0.25-0.31	1	1.166	3775/23201	94.31	80	TGS08-29_k141_17440
ERR4757828_trimmed_1.fastq.gz	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897.fa	0.0911	0.0803	96.82	0.126	95.81-97.67	0.126	0.10-0.18	1	1.095	444/10183	90.39	14	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897_NZ_LISZ01000065.1 Lactococcus lactis subsp. cremoris strain LMG6897 contig_0, whole genome shotgun sequence
ERR4757828_trimmed_1.fastq.gz	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1.fa	0.0774	0.0576	98.66	0.107	97.69-99.59	0.107	0.08-0.15	1	1.083	587/8642	91.69	91	WK023-1-L-48h-02G3_S117_k141_1117
ERR4757828_trimmed_1.fastq.gz	We6_bin.full.92.fa	0.0757	0.1532	95.64	0.105	94.51-96.63	0.105	0.07-0.15	1	1.115	585/23164	88.81	508	s9.ctg000026l
ERR4757828_trimmed_1.fastq.gz	LeechJ_2020__ERS3967742__bin.3.fa	0.0684	0.2948	99.27	0.095	98.81-99.60	0.095	0.08-0.11	1	1.057	3600/49999	91.86	2	ERS3967742_k141_58
ERR4757828_trimmed_1.fastq.gz	EBC_080.1.fa	0.0653	0.1156	97.81	0.090	96.92-98.74	0.090	0.07-0.12	1	1.102	894/20501	90.39	153	EBC_080.1_EBC_080_scaffold_1281
ERR4757828_trimmed_1.fastq.gz	DeFilippisF_xxxx__DF_100__bin.11.fa	0.0513	0.0400	97.26	0.071	95.56-99.35	0.071	0.03-0.12	1	1.042	263/9048	89.21	1	DF_100_k141_184
ERR4757828_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_277__bin.14.fa	0.0371	0.0529	96.57	0.051	94.63-98.70	0.051	0.02-0.09	1	1.025	279/16396	87.69	2	NODE_1_length_140047_cov_31.9042_ID_29915
