Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757854_trimmed_1.fastq.gz	MortensenS_xxxx__WK004-2-L-48h-01G7_S40__bin.2.fa	24.1635	15.3287	98.87	24.000	NA-NA	HIGH	NA-NA	24	24.136	9738/13831	98.87	294	WK004-2-L-48h-01G7_S40_k141_114
ERR4757854_trimmed_1.fastq.gz	LeechJ_2020__ERS3967701__bin.5.fa	18.1227	10.9575	100.00	18.000	NA-NA	HIGH	NA-NA	18	18.138	13246/13252	100.00	0	ERS3967701_k141_270
ERR4757854_trimmed_1.fastq.gz	MortensenS_xxxx__WK045-2-L-48h-03H6_S88__bin.5.fa	13.8398	11.6980	98.45	13.746	NA-NA	HIGH	NA-NA	13	13.746	11400/18526	98.45	110	WK045-2-L-48h-03H6_S88_k141_127
ERR4757854_trimmed_1.fastq.gz	GCF_011074885.1_ASM1107488v2_genomic.fa	9.2839	24.1557	99.09	9.221	NA-NA	HIGH	NA-NA	9	9.221	40734/54094	99.09	168	GCF_011074885.1_ASM1107488v2_genomic_NC_054682.1 Brettanomyces bruxellensis chromosome 1, complete sequence
ERR4757854_trimmed_1.fastq.gz	ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396.fa	7.2643	18.5129	99.87	7.215	NA-NA	HIGH	NA-NA	7	7.215	51969/54094	99.87	0	ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396_LCTY01000001.1 Brettanomyces anomalus strain YV396 scaffold1, whole genome shotgun sequence
ERR4757854_trimmed_1.fastq.gz	MortensenS_xxxx__WK040-2-L-48h-03F4_S68__bin.4.fa	6.5163	3.1772	98.90	6.472	NA-NA	HIGH	NA-NA	6	6.472	7561/10670	98.90	14	WK040-2-L-48h-03F4_S68_k141_241
ERR4757854_trimmed_1.fastq.gz	GCF_011611525.1_ASM1161152v1_genomic.fa	5.1497	3.7137	99.78	5.115	NA-NA	HIGH	NA-NA	5	5.115	14120/15106	99.78	17	GCF_011611525.1_ASM1161152v1_genomic_NZ_CP050139.1 Komagataeibacter rhaeticus strain ENS 9a1a chromosome, complete genome
ERR4757854_trimmed_1.fastq.gz	SRR10454517C1506_cerevisiae_assembly.fa	3.1250	1.9430	97.38	3.104	NA-NA	HIGH	NA-NA	3	3.104	5971/13609	97.38	505	SRR10454517C0
ERR4757854_trimmed_1.fastq.gz	MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin.6.fa	1.6297	0.9652	98.22	1.619	98.13-98.29	1.619	1.55-1.71	2	2.499	6053/13160	97.53	48	WK058-1-L-48h-04G6_S31_k141_952
ERR4757854_trimmed_1.fastq.gz	OlgaP_2019__SRR11910536__bin.9.fa	1.6268	0.9407	99.20	1.616	99.13-99.26	1.616	1.54-1.69	2	2.182	7845/12525	98.50	65	NODE_1_length_334456_cov_667.9880_ID_365
