Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR16950700_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	52.9387	63.0191	99.87	601.000	NA-NA	HIGH	NA-NA	601	603.919	13067/13589	99.87	5	NODE_1_length_274429_cov_22.9992_ID_7781
SRR16950700_trimmed_1.fastq.gz	LeechJ_2020__ERS3967691__bin.13.fa	17.2645	12.8745	99.88	196.000	NA-NA	HIGH	NA-NA	196	215.401	7955/8251	99.88	4	ERS3967691_k141_96
SRR16950700_trimmed_1.fastq.gz	MAG_501.fa	8.1918	7.1715	99.55	93.000	NA-NA	HIGH	NA-NA	93	91.572	8442/9710	99.55	1	MAG_501_0
SRR16950700_trimmed_1.fastq.gz	MAG_116.fa	2.5544	1.1108	98.20	29.000	NA-NA	HIGH	NA-NA	29	27.814	2667/4679	98.20	720	MAG_116_0
SRR16950700_trimmed_1.fastq.gz	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1.fa	2.4664	1.8876	96.38	28.000	NA-NA	HIGH	NA-NA	28	26.192	2757/8642	96.38	3038	WK023-1-L-48h-02G3_S117_k141_1117
SRR16950700_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	1.9379	1.3762	99.31	22.000	NA-NA	HIGH	NA-NA	22	21.789	6426/7955	99.31	24	SRS6115052_k141_129
SRR16950700_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.23.fa	1.9379	1.4680	100.00	22.000	NA-NA	HIGH	NA-NA	22	22.440	8369/8371	100.00	0	NODE_137_length_39565_cov_54.0000_ID_37700
SRR16950700_trimmed_1.fastq.gz	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6.fa	1.7617	1.1945	98.99	20.000	NA-NA	HIGH	NA-NA	20	19.136	5681/7783	98.99	82	WK002-1-L-48h-01F6_S30_k141_2565
SRR16950700_trimmed_1.fastq.gz	MAG_107.fa	1.5855	0.7730	99.64	18.000	NA-NA	HIGH	NA-NA	18	12.487	4892/5466	99.64	38	MAG_107_0
SRR16950700_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602153__bin.4.fa	1.5855	2.4333	99.03	18.000	NA-NA	HIGH	NA-NA	18	17.837	12990/17572	99.03	79	NODE_1_length_695767_cov_46.0000_ID_85857
SRR16950700_trimmed_1.fastq.gz	MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin.1.fa	1.4974	1.1642	99.72	17.000	NA-NA	HIGH	NA-NA	17	17.176	8046/8772	99.72	16	WK031-1-L-48h-03B2_S30_k141_309
SRR16950700_trimmed_1.fastq.gz	YuY_2022__SRR16950702__bin.15.fa	1.3213	1.2875	99.93	15.000	NA-NA	HIGH	NA-NA	15	15.485	10614/10833	99.93	16	NODE_20_length_111749_cov_59.3787_ID_38744
SRR16950700_trimmed_1.fastq.gz	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5.fa	1.3026	0.8477	99.16	14.788	NA-NA	HIGH	NA-NA	14	14.788	5678/7379	99.16	36	WK028-2-L-48h-03A1_S20_k141_3165
SRR16950700_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.19.fa	0.7211	0.4636	100.00	8.186	NA-NA	HIGH	NA-NA	8	8.186	7300/7305	100.00	0	NODE_60_length_69008_cov_15.0006_ID_75507
SRR16950700_trimmed_1.fastq.gz	GCF_004771075.1_ASM477107v1_genomic.fa	0.6409	0.5435	99.00	7.276	NA-NA	HIGH	NA-NA	7	7.276	6787/9278	99.00	205	GCF_004771075.1_ASM477107v1_genomic_NZ_CP027563.1 Weissella confusa strain VTT E-133279 chromosome, complete genome
SRR16950700_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.25.fa	0.6088	0.4930	99.99	6.911	NA-NA	HIGH	NA-NA	6	6.911	9028/9054	99.99	19	NODE_144_length_38003_cov_20.0000_ID_27523
SRR16950700_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	0.5192	0.7477	98.39	5.894	NA-NA	HIGH	NA-NA	11	5.894	9633/15952	98.39	931	AF15_k141_25
SRR16950700_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602150__bin.9.fa	0.2536	0.2245	97.09	2.879	NA-NA	HIGH	NA-NA	3	2.879	4016/10040	97.09	156	NODE_36_length_112572_cov_15.0000_ID_47355
SRR16950700_trimmed_1.fastq.gz	FontanaF_2023__SRR20746838__bin.11.fa	0.1446	0.1010	96.98	1.642	96.85-97.14	1.642	1.49-1.78	2	2.444	2461/7829	96.34	1480	NODE_1_length_180989_cov_16.9995_ID_3968
SRR16950700_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_418__bin.8.fa	0.0959	0.0717	98.82	1.089	98.67-98.93	1.089	1.02-1.17	2	2.095	3850/8364	97.53	35	NODE_1_length_253996_cov_27.9987_ID_4007
SRR16950700_trimmed_1.fastq.gz	YouL_2022__SRR13308521__bin.12.fa	0.0938	0.0751	98.59	1.064	98.47-98.73	1.064	0.99-1.12	1	1.841	3816/8997	97.27	10	NODE_365_length_36968_cov_6.0000_ID_52786
SRR16950700_trimmed_1.fastq.gz	AlvarezOrdonezA_xxxx__Q01-30__bin.12.fa	0.0865	0.1522	98.96	0.982	98.86-99.05	0.982	0.93-1.02	1	1.611	8975/19864	97.47	0	Q01-30_k141_83
SRR16950700_trimmed_1.fastq.gz	AlvarezOrdonezA_xxxx__Q06-25__bin.5.fa	0.0692	0.0638	97.77	0.786	97.61-97.96	0.786	0.73-0.84	1	1.599	2767/10208	95.88	118	Q06-25_k141_1135
SRR16950700_trimmed_1.fastq.gz	TomarS_2023__SRR15925267__bin.15.fa	0.0591	0.0887	99.71	0.671	99.59-99.83	0.671	0.64-0.70	1	1.410	7559/16868	97.44	8	NODE_1_length_226747_cov_170.6923_ID_63368
SRR16950700_trimmed_1.fastq.gz	MagliuloR_2024__SRR28235377__bin.1.fa	0.0459	0.0257	95.26	0.521	94.75-95.75	0.521	0.43-0.62	1	1.315	571/6328	92.53	417	NODE_258_length_11194_cov_5.9967_ID_68869
SRR16950700_trimmed_1.fastq.gz	ODFM-BA-A-0009-005_Bacillus_velezensis_YJ11-1-4.fa	0.0401	0.0615	98.85	0.456	98.64-99.03	0.456	0.42-0.48	1	1.260	4283/16703	95.70	197	ODFM-BA-A-0009-005_Bacillus_velezensis_YJ11-1-4_NZ_CP011347.1 Bacillus velezensis strain YJ11-1-4 chromosome, complete genome
SRR16950700_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	0.0325	0.0256	95.16	0.369	94.52-95.82	0.369	0.29-0.45	1	1.669	723/8865	92.23	2372	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome
SRR16950700_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_256__bin.2.fa	0.0261	0.0200	97.78	0.297	97.29-98.21	0.297	0.26-0.34	1	1.163	1111/8666	93.59	0	NODE_1_length_428318_cov_12.9998_ID_8660
SRR16950700_trimmed_1.fastq.gz	MAG_45.fa	0.0255	0.0250	98.28	0.290	97.88-98.64	0.290	0.26-0.33	1	1.171	1595/10848	94.00	4	MAG_45_0
SRR16950700_trimmed_1.fastq.gz	FontanaF_2023__SRR20746854__bin.2.fa	0.0234	0.0400	95.68	0.266	95.21-96.09	0.266	0.23-0.31	1	1.169	1151/19352	91.30	2	NODE_7_length_112150_cov_14.2384_ID_46122
SRR16950700_trimmed_1.fastq.gz	MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin.5.fa	0.0229	0.0085	98.19	0.260	97.60-98.81	0.260	0.20-0.32	1	1.145	538/4143	93.63	2	WK007-2-G-48h-01D1_S7_k141_50
SRR16950700_trimmed_1.fastq.gz	MAG_30.fa	0.0197	0.0278	97.89	0.224	97.54-98.19	0.224	0.20-0.25	1	1.121	1605/15164	93.01	1569	MAG_30_0
SRR16950700_trimmed_1.fastq.gz	MortensenS_xxxx__WK029-2-G-48h-04A5_S105__bin.1.fa	0.0192	0.0170	96.67	0.218	95.94-97.22	0.218	0.18-0.28	1	1.125	681/9913	91.72	489	WK029-2-G-48h-04A5_S105_k141_65
SRR16950700_trimmed_1.fastq.gz	MAG_160.fa	0.0187	0.0120	96.43	0.212	95.79-97.16	0.212	0.16-0.26	1	1.128	444/7165	91.42	0	MAG_160_0
SRR16950700_trimmed_1.fastq.gz	PB_bin.2.fa	0.0155	0.0157	98.15	0.176	97.67-98.71	0.176	0.15-0.21	1	1.210	1072/11577	92.61	104	PB_bin.2_k77_35834
SRR16950700_trimmed_1.fastq.gz	GCF_001885995.1_ASM188599v1_genomic.fa	0.0145	0.0129	95.13	0.164	93.96-96.07	0.164	0.12-0.23	1	1.288	361/10141	89.80	33	GCF_001885995.1_ASM188599v1_genomic_NZ_JXKT01000001.1 Enterococcus italicus DSM 15952 Scaffold1, whole genome shotgun sequence
SRR16950700_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_2__VB11-26__bin.7.fa	0.0132	0.0166	97.16	0.150	96.38-97.85	0.150	0.12-0.19	1	1.073	806/14170	91.17	2	VB11-26_k141_193
SRR16950700_trimmed_1.fastq.gz	MASTER_WP4_UNINA_2__M-29__bin.23.fa	0.0092	0.0125	96.93	0.104	95.89-98.07	0.104	0.07-0.15	1	1.080	575/15317	89.95	64	M-29_k141_77
SRR16950700_trimmed_1.fastq.gz	MAG_594.fa	0.0068	0.0067	98.53	0.077	97.22-99.95	0.077	0.05-0.12	1	1.056	515/10962	90.61	5	MAG_594_0
SRR16950700_trimmed_1.fastq.gz	MASTER_WP4_UNINA_2__O-25.1__bin.33.fa	0.0066	0.0143	95.85	0.075	94.41-97.09	0.075	0.05-0.12	1	1.036	470/24220	88.06	2	O-25.1_k141_2325
SRR16950700_trimmed_1.fastq.gz	LeechJ_2020__ERS3967740__bin.10.fa	0.0053	0.0039	96.37	0.060	93.86-97.55	0.060	0.04-0.13	1	1.302	169/8220	88.22	10	ERS3967740_k141_2100
SRR16950700_trimmed_1.fastq.gz	YulandiA_2020__SRS6115053__bin.10.fa	0.0049	0.0055	96.50	0.055	94.55-98.22	0.055	0.03-0.10	1	1.100	229/12698	87.85	45	SRS6115053_k141_3360
SRR16950700_trimmed_1.fastq.gz	LeechJ_xxxx__AF52__bin.1.fa	0.0043	0.0070	96.69	0.049	94.63-98.75	0.049	0.02-0.09	1	1.140	307/17995	87.69	8	AF52_k141_89
SRR16950700_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS15-30__bin.9.fa	0.0038	0.0050	95.39	0.043	92.98-95.73	0.043	0.04-0.09	1	1.035	144/14814	86.12	2	TGS15-30_k141_1200
SRR16950700_trimmed_1.fastq.gz	MASTER_WP4_CSIC_1__P2235_73323__bin.9.fa	0.0035	0.0038	98.11	0.040	96.18-99.87	0.040	0.02-0.07	1	1.192	265/12165	88.39	7	P2235_73323_k141_1719
