Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757812_trimmed_1.fastq.gz	MortensenS_xxxx__WK029-1-L-48h-03A3_S22__bin.5.fa	27.5685	22.4260	98.59	13.630	NA-NA	HIGH	NA-NA	13	13.630	7444/11552	98.59	323	WK029-1-L-48h-03A3_S22_k141_711
ERR4757812_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	18.1768	11.3749	99.75	8.987	NA-NA	HIGH	NA-NA	9	8.987	8203/8865	99.75	31	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome
ERR4757812_trimmed_1.fastq.gz	MAG_331.fa	12.8089	7.9545	97.75	6.333	NA-NA	HIGH	NA-NA	6	6.333	4338/8780	97.75	58	MAG_331_0
ERR4757812_trimmed_1.fastq.gz	LeechJ_2020__ERS3967697__bin.7.fa	11.4750	9.8454	99.99	5.673	NA-NA	HIGH	NA-NA	5	5.673	12001/12048	99.99	0	ERS3967697_k141_15
ERR4757812_trimmed_1.fastq.gz	MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1.fa	3.5738	11.5451	99.93	1.767	99.90-99.95	1.767	1.73-1.80	2	2.223	37217/45922	99.32	0	WK007-2-L-48h-01I1_S52_k141_7
ERR4757812_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	3.3677	3.1855	99.56	1.665	99.50-99.60	1.665	1.61-1.74	2	2.233	9596/13589	98.88	19	NODE_1_length_274429_cov_22.9992_ID_7781
ERR4757812_trimmed_1.fastq.gz	FontanaF_2023__SRR20746869__bin.1.fa	2.4945	2.2958	97.96	1.233	97.85-98.12	1.233	1.14-1.29	2	2.039	4853/12958	96.88	902	NODE_117_length_29172_cov_5.0000_ID_19762
ERR4757812_trimmed_1.fastq.gz	GCF_011074885.1_ASM1107488v2_genomic.fa	2.1077	8.4254	98.92	1.042	98.87-98.98	1.042	1.02-1.07	1	1.663	25003/54094	97.54	2	GCF_011074885.1_ASM1107488v2_genomic_NC_054682.1 Brettanomyces bruxellensis chromosome 1, complete sequence
ERR4757812_trimmed_1.fastq.gz	LeechJ_xxxx__AF84__bin.30.fa	1.9360	2.6285	98.80	0.957	98.70-98.91	0.957	0.91-0.99	1	1.847	8258/19478	97.27	270	AF84_k141_2549
ERR4757812_trimmed_1.fastq.gz	LeechJ_2020__ERS3967690__bin.3.fa	1.9253	1.6932	99.96	0.952	99.87-100.04	0.952	0.91-0.99	1	1.609	7564/12453	98.40	1	ERS3967690_k141_39
