Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR17227787_trimmed_1.fastq.gz	We2_bin.full.36.fa	43.2313	50.3563	100.00	1499.000	NA-NA	HIGH	NA-NA	1499	1511.581	20625/20644	100.00	19	s13.ctg000020c
SRR17227787_trimmed_1.fastq.gz	181.fa	38.8764	33.0150	99.90	1348.000	NA-NA	HIGH	NA-NA	1348	1425.374	13635/14069	99.90	434	NODE_1_length_2153466_cov_48.443198
SRR17227787_trimmed_1.fastq.gz	We2_bin.full.44.fa	4.6144	4.0958	100.00	160.000	NA-NA	HIGH	NA-NA	160	165.177	16267/16267	100.00	0	s39.ctg000053c
SRR17227787_trimmed_1.fastq.gz	O4_bin.circ.1.fa	1.9034	1.4634	99.91	66.000	NA-NA	HIGH	NA-NA	66	68.228	13941/14325	99.91	384	s2.ctg000004c
SRR17227787_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811282__bin.3.fa	1.9034	1.6482	99.58	66.000	NA-NA	HIGH	NA-NA	66	68.426	14282/16264	99.58	227	NODE_2_length_290670_cov_80.9780_ID_5607
SRR17227787_trimmed_1.fastq.gz	ODFM-BA-A-0160-001_Vibrio_casei_JB196.fa	1.7881	1.6291	99.38	62.000	NA-NA	HIGH	NA-NA	62	74.111	13820/16767	99.38	1264	ODFM-BA-A-0160-001_Vibrio_casei_JB196_NZ_QPGL01000001.1 Vibrio casei strain JB196 SAMN07141174.101, whole genome shotgun sequence
SRR17227787_trimmed_1.fastq.gz	182.fa	1.4997	1.2275	99.97	52.000	NA-NA	HIGH	NA-NA	52	104.459	14753/14909	99.97	156	NODE_1_length_1843461_cov_24.544282
SRR17227787_trimmed_1.fastq.gz	Wy2_bin.circ.5.fa	1.2113	0.9112	100.00	42.000	NA-NA	HIGH	NA-NA	42	76.661	13842/13842	100.00	0	s46.ctg000057c
SRR17227787_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811293__bin.2.fa	1.1536	0.9496	99.93	40.000	NA-NA	HIGH	NA-NA	40	36.820	15149/15483	99.93	2	NODE_1_length_423116_cov_13.9996_ID_13380
SRR17227787_trimmed_1.fastq.gz	We2_bin.circ.8.fa	1.0671	0.6453	99.96	37.000	NA-NA	HIGH	NA-NA	37	42.080	10968/11101	99.96	132	s21.ctg000029c
SRR17227787_trimmed_1.fastq.gz	Wy5_bin.lin.34.fa	0.8364	0.6117	99.84	29.000	NA-NA	HIGH	NA-NA	29	28.081	11952/12574	99.84	622	s3.ctg000020l
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__GO005_71775__bin.6.fa	0.7787	2.1070	99.80	27.000	NA-NA	HIGH	NA-NA	27	26.847	48265/51361	99.80	2	GO005_71775_k141_129
SRR17227787_trimmed_1.fastq.gz	Wy2_bin.circ.1.fa	0.3805	0.1600	100.00	13.194	NA-NA	HIGH	NA-NA	13	13.194	7470/7470	100.00	0	s8.ctg000010c
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2545__bin.25.fa	0.1975	0.6986	99.41	6.847	NA-NA	HIGH	NA-NA	7	6.847	55059/66192	99.41	186	P2545_k141_46
SRR17227787_trimmed_1.fastq.gz	Wy2_bin.circ.3.fa	0.1497	0.1704	99.96	5.191	NA-NA	HIGH	NA-NA	5	5.191	20687/20976	99.96	4	s28.ctg000032c_Wy2_bin.circ.3
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS01-22__bin.24.fa	0.0904	0.0638	97.63	3.136	NA-NA	HIGH	NA-NA	4	3.136	6305/13279	97.63	2468	TGS01-22_k141_474
SRR17227787_trimmed_1.fastq.gz	MAG_323.fa	0.0499	0.0410	99.33	1.731	99.27-99.38	1.731	1.66-1.80	2	2.202	10394/15428	98.73	36	MAG_323_0
SRR17227787_trimmed_1.fastq.gz	180.fa	0.0481	0.0347	99.69	1.668	99.64-99.74	1.668	1.60-1.73	2	2.014	9914/13331	99.05	904	NODE_1_length_3075451_cov_32.919575
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2584__bin.5.fa	0.0376	0.0251	96.38	1.302	96.22-96.49	1.302	1.23-1.41	2	1.767	3027/12654	95.49	1451	P2584_k141_383
SRR17227787_trimmed_1.fastq.gz	MAG_409.fa	0.0350	0.0160	95.87	1.214	95.68-96.00	1.214	1.11-1.33	2	1.735	1716/8758	94.88	2771	MAG_409_0
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS06-22__bin.15.fa	0.0330	0.0350	98.63	1.143	98.55-98.74	1.143	1.09-1.18	1	1.689	8857/19856	97.43	192	TGS06-22_k141_29
SRR17227787_trimmed_1.fastq.gz	MAG_501.fa	0.0201	0.0105	99.49	0.696	99.36-99.65	0.696	0.65-0.74	1	1.404	4158/9710	97.30	10	MAG_501_0
SRR17227787_trimmed_1.fastq.gz	FontanaF_2023__SRR20746951__bin.4.fa	0.0201	0.0129	98.72	0.696	98.57-98.89	0.696	0.65-0.74	1	1.388	4058/12064	96.55	4	NODE_1_length_333540_cov_36.9994_ID_1661
SRR17227787_trimmed_1.fastq.gz	175.fa	0.0194	0.0151	99.30	0.674	99.17-99.41	0.674	0.64-0.71	1	1.500	5900/14699	97.10	1928	NODE_1_length_737246_cov_23.277366
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-12D__bin.20.fa	0.0065	0.0054	98.29	0.226	97.91-98.62	0.226	0.20-0.25	1	1.120	1841/15556	93.35	1	VB-12D_k141_2439
SRR17227787_trimmed_1.fastq.gz	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1.fa	0.0063	0.0121	99.34	0.219	99.08-99.53	0.219	0.20-0.23	1	1.114	5797/36208	94.26	6	WK038-1-L-48h-03E3_S58_k141_11
SRR17227787_trimmed_1.fastq.gz	We6_bin.circ.9.fa	0.0062	0.0062	97.41	0.216	96.96-97.85	0.216	0.18-0.25	1	1.348	1576/18267	92.40	2	s34.ctg000041c
SRR17227787_trimmed_1.fastq.gz	178.fa	0.0049	0.0029	99.08	0.171	98.48-99.52	0.171	0.15-0.21	1	1.097	1310/11078	93.34	2	NODE_1_length_739497_cov_43.169039
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-15-M12__bin.17.fa	0.0049	0.0023	98.07	0.169	97.43-98.69	0.169	0.14-0.21	1	1.088	750/8851	92.35	0	VB-15-M12_k141_5700
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS04-29__bin.9.fa	0.0043	0.0043	96.35	0.148	95.64-97.14	0.148	0.11-0.19	1	0.973	894/18713	90.66	142	TGS04-29_k141_1781
SRR17227787_trimmed_1.fastq.gz	DeFilippisF_xxxx__DF_114__bin.22.fa	0.0036	0.0028	98.08	0.123	97.34-98.63	0.123	0.10-0.15	1	1.086	943/14813	91.50	134	DF_114_k141_840
SRR17227787_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_227__bin.5.fa	0.0034	0.0021	99.69	0.119	98.96-100.37	0.119	0.10-0.15	1	1.062	1141/11189	92.90	0	NODE_13_length_120594_cov_11.9989_ID_9743
SRR17227787_trimmed_1.fastq.gz	MacoriG_2019__CS_R42__bin.6.fa	0.0033	0.0035	96.07	0.115	95.01-96.90	0.115	0.09-0.16	1	0.990	686/19638	89.74	43	MacoriG_2019__CS_R42__bin.6_contig-120_0
SRR17227787_trimmed_1.fastq.gz	DeFilippisF_xxxx__DF_28__bin.4.fa	0.0030	0.0040	97.10	0.105	96.32-97.77	0.105	0.08-0.14	1	1.052	1005/25127	90.14	5	DF_28_k141_79
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__TA012_71775__bin.5.fa	0.0019	0.0013	97.59	0.065	95.89-99.17	0.065	0.04-0.11	1	1.029	381/12803	89.28	2	TA012_71775_k141_9559
SRR17227787_trimmed_1.fastq.gz	We5_bin.circ.8.fa	0.0014	0.0011	100.00	0.047	99.35-101.58	0.047	0.03-0.07	1	1.029	825/15228	91.02	0	s28.ctg000032c_We5_bin.circ.8
SRR17227787_trimmed_1.fastq.gz	We4_bin.full.28.fa	0.0013	0.0010	98.46	0.044	96.56-100.63	0.044	0.02-0.08	1	1.022	368/13711	88.98	0	s5.ctg000006l
SRR17227787_trimmed_1.fastq.gz	BertuzziAS_2018__ERS2032125__bin.3.fa	0.0012	0.0031	99.93	0.043	98.96-100.70	0.043	0.03-0.05	1	1.010	1958/47112	90.25	0	ERS2032125_k141_10
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_CSIC_1__P2246_73323__bin.19.fa	0.0009	0.0022	95.98	0.031	94.14-97.87	0.031	0.02-0.05	1	1.028	392/45509	85.78	17	P2246_73323_k141_1723
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-03-M6__bin.13.fa	0.0007	0.0005	99.14	0.024	96.25-99.56	0.024	0.02-0.05	1	1.004	255/13936	87.89	1	VB-03-M6_k141_99
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2574__bin.24.fa	0.0006	0.0017	96.88	0.020	94.24-98.11	0.020	0.01-0.05	1	1.042	403/53329	85.42	16	P2574_k141_755
SRR17227787_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS11-22__bin.20.fa	0.0005	0.0006	99.58	0.018	96.77-99.91	0.018	0.02-0.04	1	0.991	350/21047	87.62	78	TGS11-22_k141_1419
