Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757819_trimmed_1.fastq.gz	GCF_000026405.1.fna	44.4164	39.1168	99.81	1.851	99.75-99.86	1.851	1.77-1.94	2	2.492	6311/7943	99.26	0	NC_010471.1 Leuconostoc citreum KM20, complete sequence
ERR4757819_trimmed_1.fastq.gz	GCF_000007525.1.fna	17.5045	18.3717	99.13	0.729	98.97-99.30	0.729	0.68-0.78	1	1.455	3786/9595	97.04	0	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence
ERR4757819_trimmed_1.fastq.gz	GCA_014058685.1.fna	10.7797	9.7678	98.11	0.449	97.86-98.43	0.449	0.39-0.49	1	1.265	1605/8025	94.94	0	CP059055.1 Lactobacillus johnsonii strain NCK2677 chromosome, complete genome
ERR4757819_trimmed_1.fastq.gz	GCF_000014445.1.fna	8.9681	8.6441	99.25	0.374	98.95-99.54	0.374	0.33-0.41	1	1.301	2191/8862	95.59	72	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
ERR4757819_trimmed_1.fastq.gz	GCF_018351295.1.fna	8.1837	12.7443	99.17	0.341	98.91-99.49	0.341	0.30-0.37	1	1.216	3241/14497	95.28	25	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
ERR4757819_trimmed_1.fastq.gz	GCF_000014465.1.fna	3.1233	3.3940	99.37	0.130	98.76-100.08	0.130	0.10-0.16	1	1.116	1004/10002	92.85	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
ERR4757819_trimmed_1.fastq.gz	GCF_000006865.1.fna	2.1410	2.3518	96.57	0.089	94.97-98.35	0.089	0.05-0.14	1	1.050	282/9757	89.20	54	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR4757819_trimmed_1.fastq.gz	GCF_000014525.1.fna	2.0086	2.7274	97.91	0.084	96.65-99.06	0.084	0.05-0.12	1	1.240	499/11907	90.27	15	NC_008526.1 Lacticaseibacillus paracasei ATCC 334, complete sequence
ERR4757819_trimmed_1.fastq.gz	GCF_000014505.1.fna	1.6487	1.4028	97.94	0.069	96.25-99.45	0.069	0.04-0.12	1	1.088	274/7865	89.74	21	NC_008525.1 Pediococcus pentosaceus ATCC 25745, complete sequence
ERR4757819_trimmed_1.fastq.gz	GCF_000014545.1.fna	1.2261	1.4794	98.05	0.051	95.98-99.98	0.051	0.02-0.10	1	1.035	284/10467	89.02	0	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
