Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR18334999_trimmed_1.fastq.gz	GCF_000014465.1.fna	25.1656	24.3056	99.39	0.533	99.26-99.59	0.533	0.49-0.56	1	1.423	3439/10002	96.61	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_018351295.1.fna	15.2435	21.0985	97.83	0.323	97.44-98.20	0.323	0.28-0.36	1	1.493	2064/14497	93.91	53	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
SRR18334999_trimmed_1.fastq.gz	GCF_000010145.1.fna	10.8221	9.3734	98.20	0.229	97.58-98.74	0.229	0.19-0.27	1	1.301	991/8356	93.35	7	NC_010610.1 Limosilactobacillus fermentum IFO 3956, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000014445.1.fna	8.6100	7.3760	97.90	0.182	97.31-98.46	0.182	0.15-0.22	1	1.125	766/8862	92.41	10	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000015385.1.fna	6.4810	5.5659	95.59	0.137	94.48-97.27	0.137	0.08-0.20	1	1.399	268/7756	89.71	56	NC_010080.1 Lactobacillus helveticus DPC 4571, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000014485.1.fna	6.0343	4.6425	99.05	0.128	98.37-99.88	0.128	0.10-0.16	1	1.118	679/7600	92.50	0	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000014525.1.fna	5.9802	7.2174	98.42	0.127	97.71-98.96	0.127	0.10-0.16	1	1.289	908/11907	92.03	3	NC_008526.1 Lacticaseibacillus paracasei ATCC 334, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000014545.1.fna	5.4443	5.8382	97.28	0.115	96.19-97.99	0.115	0.09-0.16	1	1.091	485/10467	90.57	112	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000006865.1.fna	5.1815	5.0587	98.36	0.110	97.36-99.17	0.110	0.08-0.15	1	1.114	607/9757	91.43	3	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000014505.1.fna	4.0556	3.0670	96.02	0.086	94.14-98.05	0.086	0.04-0.14	1	1.357	185/7865	88.61	24	NC_008525.1 Pediococcus pentosaceus ATCC 25745, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCF_000056065.1.fna	3.7943	2.9205	97.16	0.080	95.62-99.15	0.080	0.04-0.13	1	1.055	235/7436	89.45	20	NC_008054.1 Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002, complete sequence
SRR18334999_trimmed_1.fastq.gz	GCA_001044095.1.fna	3.1877	3.5363	96.55	0.068	94.56-98.66	0.068	0.03-0.12	1	1.067	252/11256	88.47	17	JUIN01000001.1 Lacticaseibacillus rhamnosus strain Lr032 contig00001, whole genome shotgun sequence
