Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757818_trimmed_1.fastq.gz	GCA_014058685.1.fna	31.8858	30.3368	98.06	4.693	NA-NA	HIGH	NA-NA	4	4.693	4373/8025	98.06	2	CP059055.1 Lactobacillus johnsonii strain NCK2677 chromosome, complete genome
ERR4757818_trimmed_1.fastq.gz	GCF_000026405.1.fna	30.8870	28.5613	99.52	4.546	NA-NA	HIGH	NA-NA	4	4.546	6843/7943	99.52	0	NC_010471.1 Leuconostoc citreum KM20, complete sequence
ERR4757818_trimmed_1.fastq.gz	GCF_000007525.1.fna	26.6846	29.4065	99.06	3.927	NA-NA	HIGH	NA-NA	4	3.927	7156/9595	99.06	0	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence
ERR4757818_trimmed_1.fastq.gz	GCF_000014445.1.fna	5.1673	5.2295	99.35	0.760	99.21-99.52	0.760	0.70-0.80	1	1.595	3861/8862	97.36	76	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
ERR4757818_trimmed_1.fastq.gz	GCA_000014425.1.fna	1.2996	1.2003	97.25	0.191	96.43-98.02	0.191	0.13-0.24	1	1.300	557/7578	91.92	256	CP000413.1 Lactobacillus gasseri ATCC 33323, complete genome
ERR4757818_trimmed_1.fastq.gz	GCF_018351295.1.fna	1.2731	2.0816	99.22	0.187	98.82-99.57	0.187	0.16-0.21	1	1.158	1956/14497	93.74	18	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
ERR4757818_trimmed_1.fastq.gz	GCF_000014465.1.fna	1.2179	1.3897	98.21	0.179	97.66-98.72	0.179	0.15-0.22	1	1.136	941/10002	92.66	10	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
ERR4757818_trimmed_1.fastq.gz	GCF_000014545.1.fna	0.6177	0.7825	95.69	0.091	94.24-97.69	0.091	0.05-0.15	1	1.090	233/10467	88.45	76	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
ERR4757818_trimmed_1.fastq.gz	GCF_000006865.1.fna	0.5436	0.6269	98.84	0.080	97.65-99.98	0.080	0.05-0.12	1	1.057	522/9757	90.99	3	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR4757818_trimmed_1.fastq.gz	GCF_000014485.1.fna	0.4234	0.3848	98.96	0.062	97.35-101.03	0.062	0.03-0.10	1	1.033	333/7600	90.40	12	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence
