Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757826_trimmed_1.fastq.gz	GCF_000007525.1.fna	40.3937	42.7472	99.16	15.000	NA-NA	HIGH	NA-NA	15	15.463	7376/9595	99.16	0	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence
ERR4757826_trimmed_1.fastq.gz	GCF_000014445.1.fna	27.4459	26.6741	99.50	10.192	NA-NA	HIGH	NA-NA	10	10.192	7587/8862	99.50	2	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
ERR4757826_trimmed_1.fastq.gz	GCA_014058685.1.fna	24.6225	22.4966	97.95	9.143	NA-NA	HIGH	NA-NA	9	9.143	4225/8025	97.95	269	CP059055.1 Lactobacillus johnsonii strain NCK2677 chromosome, complete genome
ERR4757826_trimmed_1.fastq.gz	GCF_000014465.1.fna	3.8552	4.2242	99.62	1.432	99.54-99.70	1.432	1.37-1.51	2	2.139	6768/10002	98.75	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
ERR4757826_trimmed_1.fastq.gz	GCF_000014545.1.fna	0.9605	1.1685	98.93	0.357	98.63-99.24	0.357	0.32-0.39	1	1.201	2258/10467	95.17	10	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
ERR4757826_trimmed_1.fastq.gz	GCA_000014425.1.fna	0.9502	0.8427	98.78	0.353	98.43-99.15	0.353	0.29-0.39	1	1.825	1617/7578	95.14	1	CP000413.1 Lactobacillus gasseri ATCC 33323, complete genome
ERR4757826_trimmed_1.fastq.gz	GCF_000026405.1.fna	0.5827	0.5174	96.10	0.216	95.35-97.10	0.216	0.16-0.27	1	1.669	516/7943	91.56	96	NC_010471.1 Leuconostoc citreum KM20, complete sequence
ERR4757826_trimmed_1.fastq.gz	GCF_000014485.1.fna	0.4097	0.3576	99.39	0.152	98.77-99.92	0.152	0.12-0.18	1	1.098	895/7600	93.33	6	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence
ERR4757826_trimmed_1.fastq.gz	GCF_000016825.1.fna	0.3983	0.3729	96.25	0.148	95.23-97.12	0.148	0.10-0.20	1	1.060	348/8055	90.36	4	NC_009513.1 Limosilactobacillus reuteri subsp. reuteri, complete sequence
ERR4757826_trimmed_1.fastq.gz	GCF_018351295.1.fna	0.3813	0.5987	96.15	0.142	95.08-96.93	0.142	0.10-0.20	1	1.117	789/14497	91.04	30	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
